HSMID	X	Y	OBLIKA IJS	TIP PRIKLJUČKA	ID VS	UPRAVLJANJE
11620663	169285	573364	JAV	1	1633	1
11620671	169253	573361	JAV	1	1633	1
11620680	169259	573379	JAV	1	1633	1
11620698	169279	573402	JAV	1	1633	1
11620701	169290	573425	JAV	1	1633	1
11620710	169311	573473	JAV	1	1633	1
11619924	169528	574988	JAV	1	1633	1
11620728	169347	573499	JAV	1	1633	1
11620736	169349	573534	JAV	1	1633	1
19128733	169376	573548	JAV	1	1633	1
11620744	169395	573587	JAV	1	1633	1
11620752	169498	573606	JAV	1	1633	1
11620779	169515	573615	JAV	1	1633	1
11620795	169433	573792	DRUG	1	99	0
11620809	169473	573812	JAV	1	1633	1
11620817	169439	573828	JAV	1	1633	1
11620825	169419	573936	JAV	1	1633	1
11619932	169339	574780	JAV	1	1633	1
11620833	169424	573980	NEZ		99	0
11620841	169475	574014	JAV	1	1633	1
11620850	169409	574193	JAV	1	1633	1
11620868	169330	574094	JAV	1	1633	1
19125661	169288	574124	JAV	1	1633	1
19135594	169303	574135	JAV	1	1633	1
11620876	169330	574068	JAV	1	1633	1
19124690	169294	574045	JAV	1	1633	1
11620884	169358	573978	JAV	1	1633	1
19135993	169356	573985	NEZ		99	0
11620892	169311	573942	JAV	1	1633	1
19126153	169326	573898	JAV	1	1633	1
11620906	169324	573861	JAV	1	1633	1
11620914	169326	573825	JAV	1	1633	1
11620922	169155	573686	JAV	1	1633	1
11593011	169711	576266	JAV	1	1633	1
11593020	169717	576235	JAV	1	1633	1
11593038	169715	576214	JAV	1	1633	1
11593046	169711	576192	JAV	1	1633	1
11593054	169713	576172	JAV	1	1633	1
11593062	169701	576150	JAV	1	1633	1
11593143	170906	576488	JAV	1	1633	1
