FID;ENOTA;HS_MID;HS;HD;LABELA;UL_MID;NA_MID;OB_MID;PT_MID;PO_MID;D_OD;DV_OD;STATUS;Y_C;X_C
19068;HS;11634974;19;B;19B;16276286;10093414;11026826;21429392;10253004;2016-06-02;2016-06-02;V;571251;167927
19069;HS;11635016;21;A;21A;16276286;10093414;11026826;21429392;10252997;2016-06-02;2016-06-02;V;571051;167914
19070;HS;11635059;22;;22;16276286;10093414;11026826;21429392;10253004;2016-06-02;2016-06-02;V;571290;167854
19071;HS;11635164;33;;33;16276286;10093414;11026826;21429392;10253004;2016-06-02;2016-06-02;V;571896;168209
19072;HS;11635288;40;;40;16276286;10093414;11026826;21429392;10253004;2016-06-02;2016-06-02;V;571976;167685
19073;HS;11635300;42;A;42A;16276286;10093414;11026826;21429392;10253004;2016-06-02;2016-06-02;V;572011;167901
19126;HS;11635377;44;B;44B;16276286;10093414;11026826;21429392;10253004;2016-06-02;2016-06-02;V;572334;167654
19127;HS;11635415;45;A;45A;16276286;10093414;11026826;21429392;10253004;2016-06-02;2016-06-02;V;572215;167856
19128;HS;11635512;50;;50;16276286;10093414;11026826;21429392;10253004;2016-06-02;2016-06-02;V;572664;167819
19129;HS;11635601;57;B;57B;16276286;10093414;11026826;21429392;10253004;2016-06-02;2016-06-02;V;572313;167117
19130;HS;11635865;77;;77;16276286;10093414;11026826;21429392;10252997;2016-06-02;2016-06-02;V;570727;167629
19131;HS;11635873;78;;78;16276286;10093414;11026826;21429392;10252997;2016-06-02;2016-06-02;V;570456;167375
19132;HS;11635903;81;B;81B;16276286;10093414;11026826;21429392;10252997;2016-06-02;2016-06-02;V;570560;167911
19133;HS;11635954;85;;85;16276286;10093414;11026826;21429392;10252997;2016-06-02;2016-06-02;V;569508;168001
21954;HS;19131386;10;A;10A;16276049;10093171;11026826;21432237;10259371;2009-02-02;2009-02-02;V;576979;162637
21982;HS;19130398;7;A;7A;16276103;10093236;11026826;21429392;10253144;2007-08-06;2007-08-06;V;572038;169250
23573;HS;11588352;18;;18;16184802;10092752;11026826;21429392;10253284;2008-11-25;2008-11-25;V;576187;171400
23678;HS;19129942;11;;11;16276197;10093333;11026826;21432237;10252938;2015-09-29;2015-09-29;V;571731;165100
23864;HS;11620094;23;;23;16276146;10093287;11026826;21429392;10253012;2014-02-25;2014-02-25;V;574869;170014
23982;HS;11636632;19;;19;16276308;10093449;11026826;21432237;10255015;2016-06-02;2016-06-02;V;575525;161104
23983;HS;11636659;20;;20;16276308;10093449;11026826;21432237;10255015;2016-06-02;2016-06-02;V;575398;161190
23984;HS;11636683;23;;23;16276308;10093449;11026826;21432237;10255015;2016-06-02;2016-06-02;V;575076;160894
23985;HS;11636713;25;;25;16276308;10093449;11026826;21432237;10255015;2016-06-02;2016-06-02;V;576327;161029
23999;HS;11638112;7;;7;16276359;10093481;11026826;21432237;10255180;2016-06-02;2016-06-02;V;575399;163145
24000;HS;11638287;4;;4;16276367;10093490;11026826;21432237;10255171;2016-06-02;2016-06-02;V;576158;165067
24001;HS;11638295;5;;5;16276367;10093490;11026826;21432237;10255171;2016-06-02;2016-06-02;V;576164;164998
24104;HS;11638317;7;;7;16276367;10093490;11026826;21432237;10255171;2016-06-02;2016-06-02;V;576048;164976
24105;HS;11638325;8;;8;16276367;10093490;11026826;21432237;10255171;2016-06-02;2016-06-02;V;576139;164931
24106;HS;11638465;20;A;20A;16276367;10093490;11026826;21432237;10255171;2016-06-02;2016-06-02;V;575782;164509
24107;HS;11638473;20;B;20B;16276367;10093490;11026826;21432237;10255171;2016-06-02;2016-06-02;V;575780;164487
24108;HS;11638546;26;;26;16276367;10093490;11026826;21432237;10255171;2016-06-02;2016-06-02;V;576059;164462
24109;HS;11638597;30;A;30A;16276367;10093490;11026826;21432237;10255171;2016-06-02;2016-06-02;V;576121;164091
24110;HS;11638627;31;A;31A;16276367;10093490;11026826;21432237;10255171;2016-06-02;2016-06-02;V;576151;164183
24111;HS;11638643;32;;32;16276367;10093490;11026826;21432237;10255171;2016-06-02;2016-06-02;V;575958;164317
24112;HS;11638686;36;;36;16276367;10093490;11026826;21432237;10255171;2016-06-02;2016-06-02;V;575980;164149
24113;HS;11638694;37;;37;16276367;10093490;11026826;21432237;10255171;2016-06-02;2016-06-02;V;575956;164143
24114;HS;11638716;39;A;39A;16276367;10093490;11026826;21432237;10255171;2016-06-02;2016-06-02;V;576069;164043
24164;HS;11642802;2;;2;16276456;10093597;11026826;21429392;10252890;2016-06-02;2016-06-02;V;570221;166926
